ID,Article Title,Link
1,Uber driver: Glad to see discipline for Winston,http://www.espn.com/nfl/story/_/id/23948463/uber-driver-says-glad-see-nfl-disciplined-tampa-bay-buccaneers-qb-jameis-winston
2,Eagles' Bradham banned 1 game for '16 assault,http://www.espn.com/nfl/story/_/id/23948484/nigel-bradham-philadelphia-eagles-linebacker-suspended-one-game
3,Colts RB Turbin suspended for PED violation,http://www.espn.com/nfl/story/_/id/23947740/indianapolis-colts-rb-robert-turbin-suspended-four-games-ped-violation
4,McMahon expects to spend $500M on XFL,http://www.espn.com/nfl/story/_/id/23947732/vince-mcmahon-expects-spend-close-500-million-xfl
5,Buccaneers release starting RG Sweezy,http://www.espn.com/nfl/story/_/id/23947723/tampa-bay-buccaneers-release-jr-sweezy
6,NFL warns of training camp concussions,http://www.espn.com/nfl/story/_/id/23947051/nfl-warns-teams-concussions-suffered-11-11-training-camp-drills
7,Giants RB Barkley: I'll invest like Beast Mode,http://www.espn.com/nfl/story/_/id/23939975/new-york-giants-saquon-barkley-buys-parents-new-house-plan-spend-football-earnings
8,Bucs QB Winston suspended 3 games by NFL,http://www.espn.com/nfl/story/_/id/23936785/tampa-bay-buccaneers-quarterback-jameis-winston-suspended
9,"Complaint: Jenkins' brother, victim had dispute",http://www.espn.com/nfl/story/_/id/23938976/brother-giants-janoris-jenkins-victim-had-dispute
10,NFL fines Richardson for workplace misconduct,http://www.espn.com/nfl/story/_/id/23936331/nfl-fines-carolina-panthers-owner-jerry-richardson-workplace-misconduct
11,Brother of Giants' Jenkins charged in death,http://www.espn.com/nfl/story/_/id/23928674/brother-new-york-giants-janoris-jenkins-charged-death-player-house
12,Betting outlook for all 32 NFL teams,http://www.espn.com/chalk/story/_/id/23651813/nfl-full-betting-outlook-all-32-nfl-teams-2018-season
13,DE Hunter agrees to extension with Vikings,http://www.espn.com/nfl/story/_/id/23924043/de-danielle-hunter-minnesota-vikings-agree-extension
14,Body discovered at home of Giants' Jenkins   ,http://www.espn.com/nfl/story/_/id/23916802/police-investigating-body-discovered-home-new-york-giants-cb-janoris-jenkins
15,Broncos owner's wife diagnosed with Alzheimer's,http://www.espn.com/nfl/story/_/id/23923197/annabel-bowlen-wife-denver-broncos-owner-pat-bowlen-diagnosed-alzheimers
16,Numbers always lie: A look at the tallest tales in sports,http://www.espn.com/nfl/story/_/id/23913544/the-body-issue-getting-athlete-real-measurements-rarely-easy
17,Steratore becomes 4th ref to retire in offseason,http://www.espn.com/nfl/story/_/id/23876746/gene-steratore-latest-nfl-official-retire-offseason
18,Steelers' Bell on long-term deal: 'Working on it',http://www.espn.com/nfl/story/_/id/23913081/leveon-bell-pittsburgh-steelers-confident-long-term-deal
19,Kelly hosts youth camp days after surgery,http://www.espn.com/nfl/story/_/id/23908067/buffalo-bills-great-jim-kelly-youth-camp-following-surgery
20,"Edelman mounts vigorous appeal, sources say",http://www.espn.com/nfl/story/_/id/23898771/julian-edelman-new-england-patriots-mounts-vigorous-appeal
21,Falcons sign ex-Chiefs S Parker to 1-year deal ,http://www.espn.com/nfl/story/_/id/23905447/atlanta-falcons-sign-safety-ron-parker-1-year-deal
22,Barkley: 'I want to be known as a guy who breaks tackles',http://www.espn.com/nfl/story/_/id/23853857/new-york-giants-rb-saquon-barkley-hurdling-lifting-record-breaking-body-issue-2018
23,"Jerry Rice: 'If I wanted to come back to football, I could do it'",http://www.espn.com/nfl/story/_/id/23854066/san-francisco-49ers-legend-jerry-rice-staying-fit-50s-body-issue-2018
24,Former DE McCants arrested on drug charges,http://www.espn.com/nfl/story/_/id/23901541/former-tampa-bay-buccaneers-university-alabama-player-keith-mccants-arrested-drug-charge
25,"Edelman, facing 4-game PED ban, apologizes",http://www.espn.com/nfl/story/_/id/23735359/new-england-patriots-wr-julian-edelman-facing-suspension-apologizes
26,Forecasting top 10 rookie RBs: Saquon has company,http://www.espn.com/nfl/story/_/id/23671886/2018-nfl-stat-projections-top-10-rookie-running-backs
27,Ex-Bear Barton indicted for assaulting deputy,http://www.espn.com/nfl/story/_/id/23885146/ex-chicago-bears-player-kirk-barton-indicted-assaulting-deputy
28,Manning: Brees 'deserves' to break yardage mark,http://www.espn.com/nfl/story/_/id/23879833/peyton-manning-says-drew-brees-deserves-nfl-record-career-passing-yards
29,"49ers, Tomlinson agree to 3-year extension",http://www.espn.com/nfl/story/_/id/23876220/laken-tomlinson-san-francisco-49ers-agree-contract-extension
30,Eagles make ring appear for magician Dorenbos,http://www.espn.com/nfl/story/_/id/23863788/jon-dorenbos-magician-former-philadelphia-eagles-player-gets-super-bowl-ring
31,Keenum: Diggs not 1st option on 'Miracle' finish,http://www.espn.com/nfl/story/_/id/23876266/ex-minnesota-vikings-qb-case-keenum-describes-minneapolis-miracle-denver-broncos-fans
32,Ezekiel Elliott: 'I try to take my opponent's will away',http://www.espn.com/nfl/story/_/page/bodyezekielelliott/dallas-cowboys-running-back-ezekiel-elliott-well-rounded-sports-upbringing-body-issue-2017
33,Edelman: 'I know what time of year it is from how my body looks',http://www.espn.com/nfl/story/_/page/bodyjulianedelman/new-england-patriots-wide-receiver-julian-edelman-breaks-how-made-super-bowl-catch-body-issue-2017
34,Newlyweds Zach and Julie Ertz support each other through sport,http://www.espn.com/nfl/story/_/page/bodyjuliezachertz/philadelphia-eagles-tight-end-zach-ertz-uswnt-defender-julie-ertz-supporting-other-body-issue-2017
35,Flashback: Vince Wilfork's Q&A for ESPN The Magazine's Body Issue ,http://www.espn.com/nfl/story/_/page/bodyvincewilfork/houston-texans-nose-tackle-vince-wilfork-six-packs-recognition-backflips-body-issue-2016
36,Von Miller on battling asthma and bad eyesight,http://www.espn.com/nfl/story/_/page/bodyvonmiller/denver-broncos-star-von-miller-talks-geek-life-mozzarella-sticks-body-issue-2016
37,"Odell Beckham Jr. on 'the catch': 'Wow, that really happened!'",http://www.espn.com/nfl/story/_/page/bodyodellbeckhamjr/new-york-giants-wide-receiver-odell-beckham-jr-pads-espn-magazine-body-issue
38,Colts O-linemen embody evolution of the position,http://www.espn.com/nfl/story/_/page/bodycoltsoline/indianapolis-colts-offensive-linemen-embody-evolution-position-espn-magazine-body-issue
39,Scotland-Williamson attempts to make big switch by the book,http://www.espn.co.uk/nfl/story/_/id/23849237/switching-rugby-nfl-christian-scotland-williamson-attempts-make-grade-pittsburgh-steelers
40,Q&A: Nate Ebner on how rugby and NFL compare,http://www.espn.co.uk/nfl/story/_/id/23849957/new-england-patriots-nate-ebner-challenges-playing-rugby-nfl
